"Title","Author","indivauthor","Publication","Type","Year"
"NHL ups geek-factor with new stats","Stinson, Scott","Y","Calgary Herald","News",2015
"Wiz arms Oilers with 'cool technology'; New software tool allows NHL team to better track stats, scouting reports on prospects, players within organization","Staples, David","Y","Edmonton Journal","News",2010
"Stats don't lie after Sens' start; Positives few, far between through opening three games","Scanlan, Wayne","Y","The Ottawa Citizen","News",2010
"Moneypuck formula might help Habs; Canadiens Although the team isn't crying poor, the GM needs some objective help in picking the right talent","Boone, Mike","Y","The Gazette","News",2012
"Leafs keep on defying numbers","Fitz-Gerald, Sean","Y","Alaska Highway News","News",2013
"Home ice advantage? Not these playoffs; Flip a coin to find out who's got the upper hand when the Blackhawks visit GM Place tonight","Cole, Cam","Y","The Vancouver Sun","News",2010
"NHL website made for geeks","Stinson, Scott","Y","The Windsor Star","News",2015
"He shoots! He scores! He's a statistic on a computer","Ip, Greg","Y","Financial Post","News",1993
"Your logic is pretty useless in NHL playoff predictions","Townsend, Murray","Y","Financial Post","News",1994
"Do power-play stats show refs' stripes?","Townsend, Murray","Y","Financial Post","News",1993
"In fantasy sports, professor has a statistical advantage - UW Magazine","Columns Staff","N","UW Magazine","News",2007
"THE PROBLEM WITH HOCKEY STATS AND SPORTSWRITERS - Edmonton Journal","David Staples","Y","Edmonton Journal","News",2008
"Attention, hockey nerds: An interview with Hockey-Reference.com's Justin Kubatko - Yahoo Sports","Greg Wyshynski","Y","Yahoo Sports","Blog",2008
"Utilizing the Defenseman’s “Off” Hand: A Discussion of Theory and an Empirical Review - The Sport Journal","U.S. Sports Academy","Y","The Sport Journal","News",2008
"STATISTICS DON'T TELL THE WHOLE STORY OF HOCKEY - Edmonton Journal","David Staples","Y","Edmonton Journal","News",2008
"HOW ACCURATE IS THE NHL'S PLUS/MINUS STATISTIC? - Edmonton Journal","David Staples","Y","Edmonton Journal","News",2008
"HOW MUCH CAN WE TRUST STATS FROM PRE-REPLAY ERA? - Edmonton Journal","David Staples","Y","Edmonton Journal","News",2008
"Hockey ain’t Baseball, stats-lovers - Oilers Nation","Jason Gregor","Y","Oilers Nation","Blog",2009
"WHY PLUS/MINUS IS A ROTTEN, USELESS, MISLEADING AND IRRELEVANT STAT FOR NHL PLAYERS - Edmonton Journal","Greg Wyshynski","Y","Yahoo Sports Canada","Blog",2008
"Forget the numbers, Gretzky was a good coach - CBC","Scott Morrison","Y","CBC","News",2009
"Dustin Penner, the poster boy for advanced stats - Edmonton Journal","David Staples","Y","Edmonton Journal","News",2009
"Actually, the refs are biased against your team (on the road) - Yahoo Sports Canada","Greg Wyshynski","Y","Yahoo Sports Canada","Blog",2009
"The NHL Work Week: Why there are fewer goals on Mondays than there are on Tuesdays - Daily Faceoff","Jeff Tay","Y","Daily Faceoff","Website",2009
"How to grade hockey players in a single game - Edmonton Journal","David Staples","Y","Edmonton Journal","News",2010
"Cherry to Corsi: ’Get off my lawn’ - Macleans.ca","Colby Cosh","Y","Macleans.ca","News",2010
"Jim Corsi: The man behind Corsi numbers - NBC Sports","James OBrien","Y","NBC Sports","News",2010
"Interview with Jim Corsi, NHL statistical innovator, Sabres goalie coach. - Edmonton Journal","David Staples","Y","Edmonton Journal","News",2010
"The average NHL scoring sequence is 12.6 seconds long, Cult of Hockey study reveals. - Edmonton Journal","David Staples","Y","Edmonton Journal","News",2010
"Tom Thompson's Blog: Five points to understand the plus-minus stat - The Hockey News","Tom Thompson","Y","The Hockey News","Website",2010
"Advanced Stats Overview - Canucks Army","Kent Wilson","Y","Canucks Army","Blog",2010
"The scoring chance stat is the goal standard for rating players in a single game - Edmonton Journal","David Staples","Y","Edmonton Journal","News",2010
"How Billy Moores of the Oilers (and other coaches) have used advanced stats for decades - Edmonton Journal","David Staples","Y","Edmonton Journal","News",2010
"Breaking down the draft's 'birthday bias' - ESPN","Alvin Chang","Y","ESPN","Blog",2011
"Roger Neilson and the history and importance of advanced stats in the NHL - Edmonton Journal","David Staples","Y","Edmonton Journal","News",2011
"Moneypuck for Dummies (and for Smarties): Spotlight on points inflation - Edmonton Journal","David Staples","Y","Edmonton Journal","News",2012
"'Tender Touches: An attempt to measure Martin Brodeur's puckhandling impact - Edmonton Journal","Bruce McCurdy","Y","Edmonton Journal","News",2012
"Money puck: changing the way we rate NHL players - University of Toronto","Liam Mitchell","Y","University of Toronto","Website",2012
"Mike Gillis discussed analytics on Vancouver radio station - The Province","Cam Charron","Y","The Province","Website",2012
"Founder of Hockeydb.com rules Internet from Springfield - MassLive","Garry Brown","Y","MassLive","News",2011
"What We Learned: In which Capitals Coach Dale Hunter uses plus/minus to bench people - Yahoo Sports","Ryan Lambert","Y","Yahoo Sports","Blog",2012
"The Statistical History of the 0-0 Shootout - NBC Sports Philadelphia","NBC Sports Philadelphia","N","NBC Sports Philadelphia","News",2012
"How Scoring Chances Should Be Counted - Edmonton Journal","Jonathan Willis","Y","Edmonton Journal","News",2012
"AHL to NHL Translations: Save Percentage - Habs Eyes on the Prize","Stephan Cooper","Y","Habs Eyes on the Prize","Blog",2012
