Title,Subtitle,Author,indivauthor,Publication,SourceType,Publisher,Volume,Issue,PubDate,AlphaDate,StartPage,EndPage,PageRange,ISSN,EISSN,ISBN,Language,DocumentUrl,DOI
Padd-ed statistics,,"Wyman, Ted",Y,The Winnipeg Sun,News,,,,2017-04-06,2017-04-06,S.2,,,07113773,,,ENG,https://www.proquest.com/docview/2230930330?accountid=14771&bdid=165203&_bd=nqZg9nUOef4JqpY9muLwxyfwkyo%3D,
Value of hockey analytics under debate,,"Duff, Bob",Y,The Windsor Star,News,,,,2014-06-07,2014-06-07,E.1,,,,,,ENG,https://www.proquest.com/docview/1534073360?accountid=14771&bdid=165203&_bd=IbYKSAJoNkAD7c7Yw8I%2FnJZoUzo%3D,
"Hockey analytics firm leaving Guelph, unveiling new system",,"Pender, Terry",Y,The Guelph Mercury,News,,,,2015-04-18,2015-04-18,A.5,,,08416834,,,ENG,https://www.proquest.com/docview/1673936655?accountid=14771&bdid=165203&_bd=FgCE351d%2BDZB7xiKJuKPigOE8%2FE%3D,
"Numbers game ; Advanced hockey statistics may be all the rage these days, but they don't even come close to telling the whole story of what happened on the ice",,"Simmons, Steve",Y,The Ottawa Sun,News,,,,2014-05-21,2014-05-21,34,,,08432570,,,ENG,https://www.proquest.com/docview/2227607950?accountid=14771&bdid=165203&_bd=jgcxGWjfDf5LSqjOPHQQkoBxifY%3D,
Hockey 'in the dark ages' on analytics; Numbers Game,,"Clipperton, Joshua",Y,The Province,News,,,,2016-04-08,2016-04-08,A.55,,,,,,ENG,https://www.proquest.com/docview/1779663563?accountid=14771&bdid=165203&_bd=cx%2BfwOtjfzyI3Vk85yZZffJJT88%3D,
Hockey analytics still an uphill climb; SFU professor laments the game remains in the data 'dark ages',,"Clipperton, Joshua",Y,The Vancouver Sun,News,,,,2016-04-08,2016-04-08,C.12,,,08321299,,,ENG,https://www.proquest.com/docview/1779663040?accountid=14771&bdid=165203&_bd=GPxQWs1xg1XDMGuMomNlbCt5kuA%3D,
"Numbers game in Devils' favour, but series isn't: Toronto finds ways to win: With series tied 2-2, Leafs take a day off to ignore statistics",[Toronto Edition],"Burnside, Scott",Y,National Post,News,,,,2000-05-05,2000-05-05,B.15,,B15,14868008,,,ENG,https://www.proquest.com/docview/329673003?accountid=14771&bdid=165203&_bd=Ua8s7uqxSp6gjFFCRO%2BapsUREy8%3D,
"Scheifele, Dubois play hockey, not analytics, they say",,"Hamilton, Jeff",Y,Winnipeg Free Press (Online),News,,,,2021-03-04,2021-03-04,n/a,,,,,,ENG,https://www.proquest.com/docview/2545726167?accountid=14771&bdid=165203&_bd=%2FaMsD6T6eXPBtc1aPgRF4JwJ1ys%3D,
Not all ready to embrace NHL analytics,,"Hickey, Pat",Y,Leader Post,News,,,,2014-11-06,2014-11-06,C.5,,,08392870,,,ENG,https://www.proquest.com/docview/1620999534?accountid=14771&bdid=165203&_bd=RfQKCH7bKszSEnZuuem%2BW0Y%2BFYM%3D,
Questioning analytics; Doubts value of new stats,,"Hickey, Pat",Y,The Windsor Star,News,,,,2014-11-07,2014-11-07,B.2,,,,,,ENG,https://www.proquest.com/docview/1621876725?accountid=14771&bdid=165203&_bd=cT9UFLTsA5dKC38UGmpUhW3y5dE%3D,
