Title,Subtitle,Author,indivauthor,Publication,SourceType,Publisher,Volume,Issue,PubDate,AlphaDate,StartPage,EndPage,PageRange,ISSN,EISSN,ISBN,Language,DocumentUrl,DOI
NHL website tailor-made for statistics geeks,,"Stinson, Scott",Y,Edmonton Journal,News,,,,2015-02-20,2015-02-20,D.7,,,0839296X,,,ENG,https://www.proquest.com/docview/1656546209?accountid=14771&bdid=165203&_bd=26QETLGFgHfH%2B361xl3WpWVdkJU%3D,
Luongo set to toss out statistics ; VANCOUVER CANUCKS,,"Jones, Terry",Y,The London Free Press,News,,,,2010-04-27,2010-04-27,D.3,,,08390681,,,ENG,https://www.proquest.com/docview/2215457246?accountid=14771&bdid=165203&_bd=s3y9hB2KCnshNHrP%2BUKcbsw%2F96U%3D,
Calgary's solid season defies Corsi statistics,,"Wilson, Kent",Y,The Vancouver Sun,News,,,,2015-04-16,2015-04-16,D.2,,,08321299,,,ENG,https://www.proquest.com/docview/1673928821?accountid=14771&bdid=165203&_bd=om8UchvnlRSEcO7MoxHeXWLV7qE%3D,
Poolies at mercy of lady luck; Analytics tell only part of the story for gauging NHL playoff success,,"Stinson, Scott",Y,Calgary Herald,News,,,,2015-04-11,2015-04-11,D.6,,,08281815,,,ENG,https://www.proquest.com/docview/1672556338?accountid=14771&bdid=165203&_bd=YhOZ%2BjHhvfcQIYkFCQhyfboHEz0%3D,
Statistics don't show whole picture; Oilers did solid job revamping roster,,"Staples, David",Y,Edmonton Journal,News,,,,2011-10-15,2011-10-15,C.3,,,0839296X,,,ENG,https://www.proquest.com/docview/898689823?accountid=14771&bdid=165203&_bd=Jmfi4URpcvNUFP%2BUyvrOId1feRs%3D,
EX-NHL coach constantine was an analytics pioneer; Video used as far back as early 1990s to track advanced stats on own teams,,"Matheson, Jim",Y,Edmonton Journal,News,,,,2016-05-21,2016-05-21,E.3,,,0839296X,,,ENG,https://www.proquest.com/docview/1790228808?accountid=14771&bdid=165203&_bd=BAXVvEtV5czoaRAT4RldxkvXRJw%3D,
"'It's an empty feeling': Reimer; There was never a game like this, statistics show",,"Arthur, Bruce",Y,The Gazette,News,,,,2013-05-15,2013-05-15,A.29,,,03841294,,,ENG,https://www.proquest.com/docview/1351529456?accountid=14771&bdid=165203&_bd=ljiNpUsgqkmnIfjcDBU7shbvo9g%3D,
Statistics don't concern Holtby; Goalie seeks team success,,"Siegel, Jonas",Y,Montreal Gazette,News,,,,2017-01-19,2017-01-19,B.2,,,2370-1676,,,ENG,https://www.proquest.com/docview/1860099773?accountid=14771&bdid=165203&_bd=iRUThIWhrvv00hFDv5FyctZRsp4%3D,
Numbers unkind to sens; The statistics tell the tale of why another season without playoffs looms,,"Warren, Ken",Y,The Ottawa Sun,News,,,,2023-01-22,2023-01-22,S.30,,,08432570,,,ENG,https://www.proquest.com/docview/2767702796?accountid=14771&bdid=165203&_bd=uOYlmNPX57MCemxvnccsMChc6uc%3D,
NHL dives into brave new world; SAP-developed platform online offers 'enhanced statistics' for interested fans,,"Stinson, Scott",Y,Montreal Gazette,News,,,,2015-02-20,2015-02-20,C.3,,,2370-1676,,,ENG,https://www.proquest.com/docview/1656547231?accountid=14771&bdid=165203&_bd=w6EMPva50AWJYmI8tveQAjXokgM%3D,
"Sens-less statistics; Ottawa has held season's edge on Matthews, Leafs",,"Koshan, Terry",Y,The Toronto Sun,News,,,,2024-02-10,2024-02-10,S.1,,,08373175,,,ENG,https://www.proquest.com/docview/2924605746?accountid=14771&bdid=165203&_bd=X%2B0GFZX%2FogUhljXxchc%2BQvbhnhs%3D,
Perspective more vital than statistics; opinion: Truth is beyond numbers,,"Charron, Cam",Y,The Province,News,,,,2011-12-18,2011-12-18,B.17,,,,,,ENG,https://www.proquest.com/docview/912080630?accountid=14771&bdid=165203&_bd=k2hWfpdLkpMN1mteSrjWGUhjhco%3D,
Special teams statistics are not very special,,"Ziemer, Brad",Y,The Vancouver Sun,News,,,,2013-01-30,2013-01-30,C.13,,,08321299,,,ENG,https://www.proquest.com/docview/1283222954?accountid=14771&bdid=165203&_bd=gHPk8rq6P8JcDWptV7h%2BZ5w9bqM%3D,
What's luck got to do with it?; Analytics tell only part of the story when it comes to predicting NHL playoff success,,"Stinson, Scott",Y,The Province,News,,,,2015-04-12,2015-04-12,A.61,,,,,,ENG,https://www.proquest.com/docview/1672803526?accountid=14771&bdid=165203&_bd=XBYRLtqkiOPxN0HD%2B7T9dxPRI8c%3D,
Statistics don't lie -- or do they? Leafs come out on top despite being outshot 37-14 and the Wild's superior puck possession ... JVR misses game with mystery injury,,"Longley, Rob",Y,The Toronto Sun,News,,,,2013-10-16,2013-10-16,S.7,,,08373175,,,ENG,https://www.proquest.com/docview/2232145163?accountid=14771&bdid=165203&_bd=s5bt1evWE98CYla%2Fkr%2B9rv5%2BYM4%3D,
"Hamilton prefers to keep it simple; Not one enamoured with statistics, Flames d-man to play 400th NHL game",,"Anderson, Kristen",Y,Calgary Herald,News,,,,2018-02-17,2018-02-17,E.9,,,08281815,,,ENG,https://www.proquest.com/docview/2002763171?accountid=14771&bdid=165203&_bd=rLaUCCY%2FjyQt4jlYtT7XceFoO44%3D,
Chayka will ply his analytics in Phoenix,,"Milton, Steve",Y,The Spectator,News,,,,2015-08-01,2015-08-01,S.1,,,11899417,,,ENG,https://www.proquest.com/docview/1700462958?accountid=14771&bdid=165203&_bd=T5S7DTFczsSJ2m80NOXnttkDZv0%3D,
Not adding up; Analytics can't come up with a favourite to hoist the Cup,,"Matisz, John",Y,The Winnipeg Sun,News,,,,2017-05-28,2017-05-28,S.7,,,07113773,,,ENG,https://www.proquest.com/docview/2231151737?accountid=14771&bdid=165203&_bd=nYZjFulDhynbEaCeVYV6tC8Fw20%3D,
Kings put up numbers the analytics gurus love,,"Arthur, Bruce",Y,Toronto Star,News,,,,2014-06-12,2014-06-12,S.1,,,03190781,,,ENG,https://www.proquest.com/docview/1534684115?accountid=14771&bdid=165203&_bd=Nq51gYGa3kd0JTjVJWV7KsmdpCY%3D,
Moneypuck For Dummies(and for the pros); Can stats wizards do for hockey what Moneyball did for baseball's bottom line?,,"Staples, David",Y,Edmonton Journal,News,,,,2012-03-25,2012-03-25,B.1,,,0839296X,,,ENG,https://www.proquest.com/docview/947177855?accountid=14771&bdid=165203&_bd=x25xP3mbHaZCQaWobzZZ0Y7lW7I%3D,
Skaters take analytics with grain of salt; 'I just go out there ... play my game',,"Fitz-Gerald, Sean",Y,The Gazette,News,,,,2014-10-17,2014-10-17,C.2,,,03841294,,,ENG,https://www.proquest.com/docview/1613373943?accountid=14771&bdid=165203&_bd=Ae1tTEjGxGWtOj8fo%2FVLQJ3K0Es%3D,
Stats more for us than teams,[Final Edition],"Tomlinson, Dave",Y,The Province,News,,,,2008-01-07,2008-01-07,A.41,,A41,,,,ENG,https://www.proquest.com/docview/269544785?accountid=14771&bdid=165203&_bd=%2FqVRvn6owD%2Bn9bBE7Il9HU6qKMg%3D,
New FP hockey columnist finds intriguing insights in NHL data,,"Berkshire, Andrew",Y,Winnipeg Free Press (Online),News,,,,2018-09-21,2018-09-21,n/a,,,,,,ENG,https://www.proquest.com/docview/2548134591?accountid=14771&bdid=165203&_bd=GBxM2M0J0umk%2BmK6k7Des5r06os%3D,
Leafs aware analytics data charts every move on ice,,"Fitz-Gerald, Sean",Y,The Windsor Star,News,,,,2014-10-17,2014-10-17,B.2,,,,,,ENG,https://www.proquest.com/docview/1613660662?accountid=14771&bdid=165203&_bd=k1QBk8TUWvdG19qiHlb%2FrSit104%3D,
"NHL teams warm up to idea of analytics in assessing talent, players, performance",,Associated Press,N,New Glasgow News,News,,,,2014-11-22,2014-11-22,11,,,,,,ENG,https://www.proquest.com/docview/3360159572?accountid=14771&bdid=165203&_bd=jgYTQKWUzP0HReSAkipOZW5I5to%3D,
Little romance in the numbers; Critics say analytics taking fun out of sprots,,"Stinson, Scott",Y,National Post,News,,,,2015-03-02,2015-03-02,B.1,,,14868008,,,ENG,https://www.proquest.com/docview/1660280010?accountid=14771&bdid=165203&_bd=1Q%2BVZ%2FKaMvb6IaGdKtXTMBmeTvs%3D,
"Jacklin, Shiftd look to introduce new approach to hockey analysis",,"Rocca, Taylor",Y,Daily Townsman,News,,,,2016-07-18,2016-07-18,1,,,,,,ENG,https://www.proquest.com/docview/1873820985?accountid=14771&bdid=165203&_bd=ingKpo3KWXZEqkaf4VvDB6laCyg%3D,
Leafs wrap heads around analytics; 'it's a tool',,"Fitz-Gerald, Sean",Y,National Post,News,,,,2014-10-17,2014-10-17,B.7,,,14868008,,,ENG,https://www.proquest.com/docview/1613375454?accountid=14771&bdid=165203&_bd=rhUPq5i9D4yFHdLcPRU7%2BUGWphY%3D,
"For some, the numbers still don't add up; Scheifele the latest to dismiss analytics",,"Stinson, Scott",Y,National Post,News,,,,2021-03-09,2021-03-09,A.17,,,14868008,,,ENG,https://www.proquest.com/docview/2499231996?accountid=14771&bdid=165203&_bd=sZK8ZKo7T2sC%2FzbErC1yLMvGJo8%3D,
Goalies catching up in analytics world,,"MATISZ, JOHN",Y,The Ottawa Sun,News,,,,2015-03-19,2015-03-19,37,,,08432570,,,ENG,https://www.proquest.com/docview/2229255131?accountid=14771&bdid=165203&_bd=wFFk0tRygggEGi9v2cIqqJ%2F1WSY%3D,
The hotbed of fancy stats ; Alberta has blazed the analytics trail for the past decade,,"MATISZ, JOHN",Y,The Toronto Sun,News,,,,2014-10-07,2014-10-07,S.37,,,08373175,,,ENG,https://www.proquest.com/docview/2233175689?accountid=14771&bdid=165203&_bd=ADusDxAOVJtJdkPw2BBHXgaMrb0%3D,
A pain in the butt; What will it take to get NHLers to embrace analytics?,,"Stinson, Scott",Y,The Toronto Sun,News,,,,2021-03-09,2021-03-09,S.4,,,08373175,,,ENG,https://www.proquest.com/docview/2499234174?accountid=14771&bdid=165203&_bd=MWt0Hhz7jBoMVGXAmL4gvWMycl4%3D,
NHL going through analytics awakening,,"Whyno, Stephen",Y,Journal - Pioneer,News,,,,2014-10-08,2014-10-08,B.3,,,08373337,,,ENG,https://www.proquest.com/docview/3358003558?accountid=14771&bdid=165203&_bd=%2FX%2BBirBpznM1uNZQwh7CSVQ38t0%3D,
"Moneypuck! NHL teams warm up to idea of analytics in assessing talent, players, performance",,"Gelston, Dan",Y,Winnipeg Free Press (Online),News,,,,2014-11-23,2014-11-23,n/a,,,,,,ENG,https://www.proquest.com/docview/2546680166?accountid=14771&bdid=165203&_bd=gRBvYSN3f9DWP8nTCwi7PDHH7AY%3D,
67's lead way in analytics,,"MATISZ, JOHN",Y,The Toronto Sun,News,,,,2014-10-10,2014-10-10,S.10,,,08373175,,,ENG,https://www.proquest.com/docview/2233178986?accountid=14771&bdid=165203&_bd=im9hNdhFcyPsizkQ8yCY4PHh5iE%3D,
Analytics show mixed results on improvement,,"Staples, David",Y,Edmonton Journal,News,,,,2013-12-31,2013-12-31,B.2,,,0839296X,,,ENG,https://www.proquest.com/docview/1473511746?accountid=14771&bdid=165203&_bd=1CD721zoacZyiVAazDKzZFlgrHE%3D,
Great analytics war wages on in NHL,,"Stinson, Scott",Y,The Windsor Star,News,,,,2014-10-06,2014-10-06,B.1,,,,,,ENG,https://www.proquest.com/docview/1609035271?accountid=14771&bdid=165203&_bd=1Z3aRM2hIZNVaxliCHMcxVhFdYw%3D,
"Numbers Game; Pro sports teams turn to data analytics to fill venues, evaluate talent",,"Hartley, Matt",Y,National Post,News,,,,2013-09-04,2013-09-04,FP.3,,,14868008,,,ENG,https://www.proquest.com/docview/1429814879?accountid=14771&bdid=165203&_bd=2Veyo8s0oUBQedE4UyFchD%2BI%2BVA%3D,
"The math again the winner in playoffs; So far, analytics numbers correct after two rounds",,"Stinson, Scott",Y,Calgary Herald,News,,,,2015-05-16,2015-05-16,B.1,,,08281815,,,ENG,https://www.proquest.com/docview/1681226392?accountid=14771&bdid=165203&_bd=RSNbKVxmVA5Cd%2BoughEyq%2BwFrGc%3D,
Not everyone in NHL is embracing analytics,,"Hickey, Pat",Y,The Province,News,,,,2014-11-06,2014-11-06,A.36,,,,,,ENG,https://www.proquest.com/docview/1620999252?accountid=14771&bdid=165203&_bd=q%2Fx5g81fsm4HtPUPqyNgNPr9A0o%3D,
Analytics becoming a polarizing force; Even fans of advanced stats worry they take some fun out of sports,,"Stinson, Scott",Y,Edmonton Journal,News,,,,2015-03-02,2015-03-02,B.6,,,0839296X,,,ENG,https://www.proquest.com/docview/1659860828?accountid=14771&bdid=165203&_bd=j9NezOmRePgn5J%2BuI6IS%2Fdz%2BdUU%3D,
A primer to NHL's new analytics game,,"Wilson, Kent",Y,Calgary Herald,News,,,,2014-10-06,2014-10-06,C.5,,,08281815,,,ENG,https://www.proquest.com/docview/1609049014?accountid=14771&bdid=165203&_bd=W0IKI7k%2FC1aXIjS9%2FrnBzIXcUGU%3D,
Not all NHLers sold on analytics; Some question whether advanced stats translate to more wins,,"Hickey, Pat",Y,The Vancouver Sun,News,,,,2014-11-06,2014-11-06,D.10,,,08321299,,,ENG,https://www.proquest.com/docview/1620997380?accountid=14771&bdid=165203&_bd=J8xVhSilTpwR8UDTQbMLamfwpX4%3D,
NHL guru more than just a number; Analytics,,"MacKinnon, John",Y,The Province,News,,,,2014-02-05,2014-02-05,A.28,,,,,,ENG,https://www.proquest.com/docview/1495404604?accountid=14771&bdid=165203&_bd=k2a6XnASFVoZrR8LhaHLbTASl%2Bs%3D,
Can analytics measure the size of an athlete's heart?,,"Short, Robin",Y,Telegram,News,,,,2016-12-10,2016-12-10,C.1,,,14876019,,,ENG,https://www.proquest.com/docview/3359437955?accountid=14771&bdid=165203&_bd=THBGl9ehHg9yE6x6vePkRN9%2FjZQ%3D,
Analytics show Caps should start Grubauer,,"Greenberg, Neil",Y,Star - Phoenix,News,,,,2018-04-03,2018-04-03,C.1,,,08324174,,,ENG,https://www.proquest.com/docview/2021287807?accountid=14771&bdid=165203&_bd=eOMbwxwZqKmOgBD3Tfy4WrBYe14%3D,
Canadiens' analytics team opens door to new training,,"Cowan, Stu",Y,Montreal Gazette,News,,,,2022-10-01,2022-10-01,C.8,,,2370-1676,,,ENG,https://www.proquest.com/docview/2719955622?accountid=14771&bdid=165203&_bd=BHMKvejujONTyVdo05o4SUwfFNs%3D,
We look to analytics to tell us what's real and what's not inthe NHL playoffs so far ... Rangers power outage a real concern ...Ducks can't win close ones forever,,"MATISZ, JOHN",Y,The Toronto Sun,News,,,,2015-04-24,2015-04-24,S.19,,,08373175,,,ENG,https://www.proquest.com/docview/2233534484?accountid=14771&bdid=165203&_bd=dlnx904N5JNvmznOoJqqCjmfhA0%3D,
"When intangibles top analytics; Some NHL mock drafts have big winger Lawson Crouse in Top 5, others outside Top 10",,"Traikos, Michael",Y,The Province,News,,,,2015-06-21,2015-06-21,A.60,,,,,,ENG,https://www.proquest.com/docview/1690178271?accountid=14771&bdid=165203&_bd=onw0kk8a1D5OrzTxwkUDeRlbQMk%3D,
MLSE boss questions value of analytics ; MAPLE LEAFS: LEIWEKE SAYS GREAT CHARACTER' NEEDED TO MAKE IT IN NHL,,"Hornby, Lance",Y,The Beacon Herald,News,,,,2014-09-13,2014-09-13,B.3,,,08344892,,,ENG,https://www.proquest.com/docview/2213722433?accountid=14771&bdid=165203&_bd=adUEPYp7gm%2FXIiLXi4sspZL4Iv4%3D,
The numbers still don't add up for many skeptical NHL players; Jets star Scheifele dismisses the merits of analytics as just 'a bunch of hogwash',,"Stinson, Scott",Y,Sault Star,News,,,,2021-03-09,2021-03-09,B.2,,,0839203X,,,ENG,https://www.proquest.com/docview/2499244966?accountid=14771&bdid=165203&_bd=9zI3s%2BgxYXtGpamjBMJadOxG87M%3D,
"A human science; In this age of analytics and measurables, there remains something refreshingly imprecise about scouting. it's something that resists the cold science and rewards the art",,"Willes, Ed",Y,The Gazette,News,,,,2013-06-27,2013-06-27,B.3,,,03841294,,,ENG,https://www.proquest.com/docview/1372726650?accountid=14771&bdid=165203&_bd=VVneZ5pPagm3Lv5F9dKIt8KsIiI%3D,
Math whiz Chu running the numbers for Kraken; NHL's new team takes on sports fanatic from Burnaby for his analytics expertise,,"Kuzma, Ben",Y,The Vancouver Sun,News,,,,2020-07-30,2020-07-30,B.8,,,08321299,,,ENG,https://www.proquest.com/docview/2428916317?accountid=14771&bdid=165203&_bd=Ak3Qj0HfZwBoufu3f67Mo8p9IBg%3D,
"For some, analytics don't add up; But old-school Leafs are taking a leap of faith",,"Hickey, Pat",Y,Edmonton Journal,News,,,,2014-11-06,2014-11-06,D.5,,,0839296X,,,ENG,https://www.proquest.com/docview/1620999355?accountid=14771&bdid=165203&_bd=ToTsk%2F54ZyXpUryKBSSJRg6A4Hs%3D,
"'I think information is power'; Part 2 of 3: Video, analytics programs offer a new way to see the game",,"Smith, Cory",Y,The Beacon Herald,News,,,,2020-05-15,2020-05-15,B.1,,,08344892,,,ENG,https://www.proquest.com/docview/2403231081?accountid=14771&bdid=165203&_bd=mmbYPnpp%2BwQjLLmWnKeZMby3An4%3D,
"Analytics show Oilers are losing on defence, defence, defence; Goalies and D-men have struggled so far this season, says William Hanson",,William Hanson,Y,Edmonton Journal,News,,,,2017-12-08,2017-12-08,A.8,,,0839296X,,,ENG,https://www.proquest.com/docview/1974503169?accountid=14771&bdid=165203&_bd=YP4edhM%2B%2FDK0%2Bdg0HbKVcF3Ny5k%3D,
"Analytics important, but habs also need players like perry; Veteran made a difference in last season's playoff run, now he's inspiring Lightning",,"Cowan, Stu",Y,Montreal Gazette,News,,,,2021-12-08,2021-12-08,NP.12,,,2370-1676,,,ENG,https://www.proquest.com/docview/2608033326?accountid=14771&bdid=165203&_bd=wpQBXUTYNMsCLSjwrwBPVUK7TTM%3D,
Strength in numbers ; Leafs continue analytics revolution with additions of three more fancy-stats proponents to front office,,"Hornby, Lance",Y,The Toronto Sun,News,,,,2014-08-20,2014-08-20,S.4,,,08373175,,,ENG,https://www.proquest.com/docview/2233122762?accountid=14771&bdid=165203&_bd=c8lZSSre%2FlTR8OVvsSqRJ%2FAmlmg%3D,
The Selke debate is one that analytics can help solve ...Bergeron looking likely to repeat ... Toews and Kopitar also in themix ... Centres dominate trophy talk ...Ovie racking up goals,,"MATISZ, JOHN",Y,The Toronto Sun,News,,,,2015-03-13,2015-03-13,S.6,,,08373175,,,ENG,https://www.proquest.com/docview/2233384944?accountid=14771&bdid=165203&_bd=0bfN8%2FPx1TID1XFm59uKY2N7dlo%3D,
Willie plans to keep the Sedins fresh; quick change artist,,"Jamieson, Jim",Y,The Province,News,,,,2014-09-10,2014-09-10,A.26,,,,,,ENG,https://www.proquest.com/docview/1561406095?accountid=14771&bdid=165203&_bd=VQ85xwedLZFMQhbehuLW%2BW%2Fqt9w%3D,
Can't measure a team by its points: Use Winning percentage,[Final Edition],"Jones, Chris",Y,National Post,News,,,,1998-12-01,1998-12-01,B.9,,B9,14868008,,,ENG,https://www.proquest.com/docview/329325884?accountid=14771&bdid=165203&_bd=2Pt3WVopgGYS5dBSm28I2CivK1o%3D,
"Canucks lead way with analytics; It's not quite Moneyball, but Vancouver has used evaluative stats to boost personnel",,"Charron, Cam",Y,The Province,News,,,,2013-04-14,2013-04-14,D.14,,,,,,ENG,https://www.proquest.com/docview/1326990451?accountid=14771&bdid=165203&_bd=kDwjOUeLXDaXzQHfzfVFb5UnUfo%3D,
Revamped NHL website to track enhanced stats,,"Dingman, Shane",Y,The Globe and Mail,News,,,,2015-02-20,2015-02-20,S.1,,,03190714,,,ENG,https://www.proquest.com/docview/1656244974?accountid=14771&bdid=165203&_bd=AW2SxEQxnA1%2BVlSzqkY03OplyWc%3D,
Only one number matters; Moral victories not going to get the Jets very far,,"Stinson, Scott",Y,National Post,News,,,,2015-04-21,2015-04-21,B.5,,,14868008,,,ENG,https://www.proquest.com/docview/1674902281?accountid=14771&bdid=165203&_bd=R%2BstProlm7cmGV89xYBRCf88fVw%3D,
Numbers speak well for Senators: Offence in high gear,[National Edition],"Warren, Ken",Y,National Post,News,,,,2004-03-01,2004-03-01,S.6,,S6,14868008,,,ENG,https://www.proquest.com/docview/330104052?accountid=14771&bdid=165203&_bd=%2BJOF%2FoXsINAjuEmIPHsX4pkCu%2Bw%3D,
Maple Leafs up the analytics ante in front office ; NHL: Darryl Metcalf and Cam Charron are part of a new trend evident in sport scouting and coaching strategy and fit well with new assistant GM Kyle Dubas,,"Hornby, Lance",Y,The London Free Press,News,,,,2014-08-20,2014-08-20,D.3,,,08390681,,,ENG,https://www.proquest.com/docview/2229996010?accountid=14771&bdid=165203&_bd=07rIWUu2pcxWovORAgtA38%2BBczQ%3D,
"Why the numbers lied; The Senators were the darlings of the analytics set prior to the start of this season, projected to challenge the elite teams in the Eastern Conference. Breaks the stats down to figure out why it hasn't turned out that way",,"Nichols, Graeme",Y,The Ottawa Citizen,News,,,,2013-12-26,2013-12-26,B.4,,,08393222,,,ENG,https://www.proquest.com/docview/1470848618?accountid=14771&bdid=165203&_bd=ybKSHYcsvSm1XCxnlIECLCigA5A%3D,
Only one number matters to Jets; Moral victories not going to get team very far,,"Stinson, Scott",Y,National Post,News,,,,2015-04-21,2015-04-21,B.6,,,14868008,,,ENG,https://www.proquest.com/docview/1674903071?accountid=14771&bdid=165203&_bd=tzBEfi%2FbA%2BkC64BY1W9oOBZzXEc%3D,
"Dubas, 28, brings a new way of thinking to the Leafs",,"McGran, Kevin",Y,The Guelph Mercury,News,,,,2014-07-23,2014-07-23,B.5,,,08416834,,,ENG,https://www.proquest.com/docview/1547505062?accountid=14771&bdid=165203&_bd=n%2BLkkaK6Rrw6Bv7qla9WUr8%2BpvY%3D,
"Leafs big losers in the Moneyball game, too",BMO calculation puts Predators on top of NHL,Morgan Campbell,Y,The Spectator,News,,,,2012-04-11,2012-04-11,A.12,,,11899417,,,ENG,https://www.proquest.com/docview/993139245?accountid=14771&bdid=165203&_bd=mscvRTc2nuW63%2Bw7F%2BLwEhyn2Xk%3D,
"Leafs keep defying numbers in solid start; Goaltending of Bernier, Reimer saving Toronto's cause",,"Fitz-Gerald, Sean",Y,The Ottawa Citizen,News,,,,2013-11-21,2013-11-21,B.3,,,08393222,,,ENG,https://www.proquest.com/docview/1460818094?accountid=14771&bdid=165203&_bd=9%2B3qAy6j%2B9IKfLdfLoNp5X0q5mw%3D,
Greatness doesn't show up in the score,[Final Edition],"Stevenson, Ben",Y,Niagara Falls Review,News,,,,2006-01-25,2006-01-25,B.1.Fro,,B1 Front,08391572,,,ENG,https://www.proquest.com/docview/361389300?accountid=14771&bdid=165203&_bd=pAleCHyK7GjnBIweRvKHgH6zykI%3D,
"Assists should only be earned, not simply gained by accident",[Final Edition],"Kay, Jason",Y,Prince Albert Daily Herald,News,,,,2003-01-28,2003-01-28,6,,6,08395381,,,ENG,https://www.proquest.com/docview/345022293?accountid=14771&bdid=165203&_bd=EQyUAqb%2Bz5yjt2EZVYOYcBUjA0A%3D,
"Don't mess with math; When it comes to statistical trends in sports, random events are just par for the course",,"Stinson, Scott",Y,National Post,News,,,,2014-10-17,2014-10-17,B.5,,,14868008,,,ENG,https://www.proquest.com/docview/1613373257?accountid=14771&bdid=165203&_bd=YRFLODOcbDvi4DC4MikFTc1oztE%3D,
Jim Corsi's more than just a number; Goalie coach's shot measure has been hijacked by stats fanatics,,"MacKinnon, John",Y,Edmonton Journal,News,,,,2014-02-05,2014-02-05,B.3,,,0839296X,,,ENG,https://www.proquest.com/docview/1495403657?accountid=14771&bdid=165203&_bd=56WVGx%2BnbjpRV%2FFI9papagmIbcQ%3D,
Burke doesn't need stats to see his team's flaws,,"Hickey, Pat",Y,The Gazette,News,,,,2012-03-03,2012-03-03,E.3,,,03841294,,,ENG,https://www.proquest.com/docview/926248364?accountid=14771&bdid=165203&_bd=x8moCuyxjl5iZvlg1WD%2B9Tz2wwQ%3D,
How much does an NHLer really contribute toward a victory?; New shots-on-net analysis can help tell the story about exactly who plays a key role game after game,,"Staples, David",Y,Edmonton Journal,News,,,,2011-11-05,2011-11-05,C.3,,,0839296X,,,ENG,https://www.proquest.com/docview/902535340?accountid=14771&bdid=165203&_bd=jo9IGMNSIugpAJU3aUKesuY%2Bino%3D,
Not all NHLers ready to embrace the math,,"Hickey, Pat",Y,The Ottawa Citizen,News,,,,2014-11-06,2014-11-06,B.5,,,08393222,,,ENG,https://www.proquest.com/docview/1620998853?accountid=14771&bdid=165203&_bd=A8vzaexX1NlHey6PS5jeJfDOg4Q%3D,
Outgunned Leafs defying the odds; Numbers game,,"Fitz-Gerald, Sean",Y,The Province,News,,,,2013-11-21,2013-11-21,A.52,,,,,,ENG,https://www.proquest.com/docview/1460818016?accountid=14771&bdid=165203&_bd=ifPHN9YZhuMCGFSXKyEutBcM87o%3D,
NHL ups geek-factor with new stats,,"Stinson, Scott",Y,Calgary Herald,News,,,,2015-02-20,2015-02-20,D.3,,,08281815,,,ENG,https://www.proquest.com/docview/1656545913?accountid=14771&bdid=165203&_bd=AUiKEI0jR1eL3b%2BMZojugX890g8%3D,
"Wiz arms Oilers with 'cool technology'; New software tool allows NHL team to better track stats, scouting reports on prospects, players within organization",,"Staples, David",Y,Edmonton Journal,News,,,,2010-06-21,2010-06-21,C.2,,,0839296X,,,ENG,https://www.proquest.com/docview/517667412?accountid=14771&bdid=165203&_bd=ZAcM%2BrW%2F%2B%2F0DQImA8uq2tyfU2Ww%3D,
"Stats don't lie after Sens' start; Positives few, far between through opening three games",,"Scanlan, Wayne",Y,The Ottawa Citizen,News,,,,2010-10-13,2010-10-13,B.1,,,08393222,,,ENG,https://www.proquest.com/docview/758535714?accountid=14771&bdid=165203&_bd=wsiWx%2FdgajFb9x2EEU2PLTamaS4%3D,
"Moneypuck formula might help Habs; Canadiens Although the team isn't crying poor, the GM needs some objective help in picking the right talent",,"Boone, Mike",Y,The Gazette,News,,,,2012-02-25,2012-02-25,E.3,,,03841294,,,ENG,https://www.proquest.com/docview/923676392?accountid=14771&bdid=165203&_bd=vth5ENdZXsLKGbt8RSH4e9VOukY%3D,
Leafs keep on defying numbers,,"Fitz-Gerald, Sean",Y,Alaska Highway News,News,,,,2013-11-21,2013-11-21,A.4,,,1483975X,,,ENG,https://www.proquest.com/docview/1460816059?accountid=14771&bdid=165203&_bd=inVVOKQ8RM2XnEuRcORz9WeRDqk%3D,
Home ice advantage? Not these playoffs; Flip a coin to find out who's got the upper hand when the Blackhawks visit GM Place tonight,,"Cole, Cam",Y,The Vancouver Sun,News,,,,2010-05-05,2010-05-05,C.3,,,08321299,,,ENG,https://www.proquest.com/docview/243896380?accountid=14771&bdid=165203&_bd=YhoIOfYrlbPtYk2tFuajZuXdeNQ%3D,
NHL website made for geeks,,"Stinson, Scott",Y,The Windsor Star,News,,,,2015-02-20,2015-02-20,B.1,,,,,,ENG,https://www.proquest.com/docview/1656547060?accountid=14771&bdid=165203&_bd=7lrJRFNKpaKZ01vh7XkJT9az7uM%3D,
He shoots! He scores! He's a statistic on a computer,[Daily Edition],"Ip, Greg",Y,Financial Post,News,,,,1993-12-10,1993-12-10,20,,20,08388431,,,ENG,https://www.proquest.com/docview/441515673?accountid=14771&bdid=165203&_bd=vssdf70FUYXRFrWv64%2B6P3A%2BfCg%3D,
Your logic is pretty useless in NHL playoff predictions,[Daily: Toronto Edition],"Townsend, Murray",Y,Financial Post,News,,,,1994-04-05,1994-04-05,57,,57,08388431,,,ENG,https://www.proquest.com/docview/441572020?accountid=14771&bdid=165203&_bd=bm2SOnRPukIHI7cMv32%2BP7krCAo%3D,
